Time [s],Value,Parity Error,Framing Error
2.605818000,9,,
2.606859400,9,,
2.607900700,.,,
2.608942100,9,,
2.609983400,9,,
2.611024700,*,,
2.612066100,2,,
2.613107400,E,,
2.614148800,CR ,,
2.615190100,LF ,,
2.616231500,$,,
2.617272800,G,,
2.618314200,P,,
2.619355500,G,,
2.620396800,S,,
2.621438200,V,,
2.622479500,,,,
2.623520900,1,,
2.624562200,,,,
2.625603500,1,,
2.626644900,,,,
2.627686200,0,,
2.628727600,0,,
2.629768900,*,,
2.630810200,7,,
2.631851600,9,,
2.632892900,CR ,,
2.633934300,LF ,,
2.634975600,$,,
2.636017000,G,,
2.637058300,L,,
2.638099700,G,,
2.639141000,S,,
2.640182300,V,,
2.641223700,,,,
2.642265000,1,,
2.643306400,,,,
2.644347700,1,,
2.645389000,,,,
2.646430400,0,,
2.647471700,0,,
2.648513100,*,,
2.649554400,6,,
2.650595800,5,,
2.651637100,CR ,,
2.652678400,LF ,,
2.653719800,$,,
2.654761100,G,,
2.655802500,N,,
2.656843800,G,,
2.657885100,L,,
2.658926500,L,,
2.659967800,,,,
2.661009200,,,,
2.662050500,,,,
2.663091900,,,,
2.664133200,,,,
2.665174600,,,,
2.666215900,V,,
2.667257200,,,,
2.668298600,N,,
2.669339900,*,,
2.670381300,7,,
2.671422600,A,,
2.672463900,CR ,,
2.673505300,LF ,,
3.400544400,$,,
3.401585700,G,,
3.402627000,N,,
3.403668400,T,,
3.404709700,X,,
3.405751100,T,,
3.406792400,,,,
3.407833800,0,,
3.408875100,1,,
3.409916500,,,,
3.410957800,0,,
3.411999100,1,,
3.413040500,,,,
3.414081800,0,,
3.415123200,2,,
3.416164500,,,,
3.417205800,A,,
3.418247200,N,,
3.419288500,T,,
3.420329900,S,,
3.421371200,T,,
3.422412600,A,,
3.423453900,T,,
3.424495300,U,,
3.425536600,S,,
3.426577900,=,,
3.427619300,O,,
3.428660600,K,,
3.429702000,*,,
3.430743300,2,,
3.431784600,5,,
3.432826000,CR ,,
3.433867300,LF ,,
3.440512400,$,,
3.441553700,G,,
3.442595100,N,,
3.443636400,R,,
3.444677800,M,,
3.445719100,C,,
3.446760400,,,,
3.447801800,,,,
3.448843100,V,,
3.449884500,,,,
3.450925800,,,,
3.451967100,,,,
3.453008500,,,,
3.454049800,,,,
3.455091200,,,,
3.456132500,,,,
3.457173900,,,,
3.458215200,,,,
3.459256600,,,,
3.460297900,N,,
